,,,Name,_RA,_DEC,RVel,SNR,Teff,e_Teff,logg,e_logg,FeH,e_FeH,vt,e_vt,logL,f_logg,Teff-LAMOST,logg-LAMOST,FeH-LAMOST,LAMOST,Vmag,EBV-d,EBV-Na,B0mag,V0mag,g0mag,r0mag,J0mag,Ks0mag,dist,DR3Name_x,ra,ra_error,dec,dec_error,parallax,parallax_error,Gmag,RPmag,BPmag,BP-RP,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,Column0,DR3Name_y,RA,DEC,BP-RP_y,MatchID,MatchRA,MatchDEC,dstArcSec,survey,fov_radius,IAUName,band,nuv_exptime,fuv_exptime,fuv_mag,fuv_magerr,nuv_mag,nuv_magerr,fuv_flux,fuv_fluxerr,nuv_flux,nuv_fluxerr,e_bv,ra_cent,dec_cent,xCenter,yCenter,SSAPFitsFile,nuv_flux_auto,nuv_flux_aper_7,nuv_artifact,fuv_flux_auto,fuv_flux_aper_7,fuv_artifact,redG,redBP,redRP,bpDered,rpDered,gDered,NUVDered,bp_rp_dered,colorColorY
168,318,201,J1235+0956,188.908966,9.937829,-7.2,31.3,6217,180,4.26,0.24,-2.26,0.25,2.40,0.30,0.210,0.246,1,6198,4.34,LAMOST,15.434,0.023,-9.900,15.840,15.373,15.536,15.320,14.417,14.129,0.00013322619923994452,3903342870757308544,188.90896081897537,0.035708077,9.937694535915421,0.030352918,0.3363772639246766,0.045203544,15.380072593688965,14.952201,15.602554,0.65035343,6234.5903,6204.162,6274.613,3.8582,3.8129,3.8819,-2.2433,-2.9154,-2.0536,201,3.90334287075731E+18,188.908960818975,9.93769453591542,0.65035343,3222820451320335677,188.908843789794,9.93762083624059,0.492550167171219,GII,0.3752888,GALEX J123538.1+095615,1,1623.75,0,-999,-999,18.20039,0.0138248,-999,-999,190.4776,2.424784,0.02186092,188.5969,10.15325,1927.82,1928.292,,5.647346,5.606072,0,-99,-99,-999,0.05908924294547959,0.07372935437457002,0.040526809575507125,15.528824645625429,14.911674190424494,15.320983350743486,18.0421169392,0.6171504552009353,-1.3494336132950444
169,320,202,J1235+3712,188.983292,37.206848,43.0,93.2,6105,55,2.60,0.06,-3.52,0.16,2.95,0.26,1.838,0.062,0,6212,2.91,LAMOST,12.883,0.016,0.014,13.290,12.839,13.065,12.751,11.798,11.466,0.00011908298359908403,1519628565414140160,188.98326253216382,0.010896424,37.20672993631299,0.011088292,0.3420349758650262,0.015410228,12.631632804870605,12.245359,12.863962,0.61860275,6119.0034,6107.1772,6138.747,2.681,2.6648,2.7127,-2.1602,-2.3317,-2.0382,202,1.51962856541414E+18,188.983262532164,37.206729936313,0.61860275,6374680570276875013,188.983508623956,37.2066984004606,0.714682140482942,AIS,0.1837973,GALEX J123556.0+371224,3,199,110,20.79718,0.2637292,16.23461,0.01495499,17.42322,4.231133,1164.545,16.03661,0.01790251,188.75584,37.1769,1899.094,1928.782,,34.52684,34.59717,0,0.1618551,0.1627263,0,0.048642586504476705,0.0605480895511211,0.03322512249398048,12.80341391044888,12.21213387750602,12.58299021836613,16.1049958276,0.5912800329428602,-0.36995719139919725
170,322,204,J1237+1922,189.444473,19.380432,-53.1,94.3,4989,50,2.05,0.09,-3.09,0.12,1.93,0.08,2.037,0.091,0,5065,2.00,LAMOST,12.131,0.030,0.022,12.788,12.050,12.375,11.802,10.445,9.926,5.6610781056259805e-05,3948292486649393920,189.4445033886183,0.021257767,19.38037943341106,0.019595174,0.26863477818956166,0.028628537,11.895554542541504,11.278393,12.332395,1.0540018,,,,,,,,,,204,3.94829248664939E+18,189.444503388618,19.3803794334111,1.0540018,3230033247598549002,189.444686247142,19.3804778390605,0.714932270810178,GII,0.1357379,GALEX J123746.7+192249,1,1512.25,0,-999,-999,17.4946,0.01025304,-999,-999,364.887,3.444936,0.02370651,189.31733,19.31735,1920.894,1919.188,,10.81829,11.01205,0,-99,-99,-999,0.05951798802677881,0.07680944141139946,0.04321309002303294,12.255585558588601,11.235179909976967,11.836036554514726,17.3229648676,1.020405648611634,-1.205226390917125
171,323,205,J1240+5216,190.094681,52.273758,-148.0,49.0,5204,35,2.73,0.03,-2.75,0.10,1.60,0.08,1.431,0.032,0,5422,2.81,LAMOST,12.814,0.026,0.034,13.418,12.745,12.993,12.504,11.316,10.836,0.00016703655303490855,1569100949371226496,190.0945139655024,0.007204298,52.27362377647166,0.007504574,0.5182819798106295,0.010868811,12.593700408935547,12.0378475,12.96859,0.93074226,,,,,,,,,,205,1.56910094937123E+18,190.094513965502,52.2736237764717,0.93074226,6374539767288170757,190.094694041344,52.2737239398277,0.536071393770159,AIS,0.1629851,GALEX J124022.7+521625,1,109,109,-999,-999,17.07115,0.03001441,-999,-999,538.9407,14.89501,0.01588145,189.82991,52.25628,1920.61,1955.716,,15.9787,16.19606,0,-99,-99,0,0.040745319514177515,0.05204818960993325,0.029106047054024902,12.916541810390067,12.008741452945975,12.552955089421369,16.956168302,0.907800357444092,-1.538234430322147
172,325,206,J1250-0307,192.666153,-3.130169,397.9,51.8,5344,66,3.11,0.04,-2.07,0.09,1.38,0.05,1.097,0.045,0,5679,3.02,LAMOST,12.829,0.030,0.012,13.359,12.748,13.237,12.723,11.482,10.976,0.00027102894651283337,3682285675740566656,192.66595777113633,0.013330736,-3.130351385358945,0.0068944492,0.7881072598289008,0.014590955,12.648920059204102,12.124481,12.994606,0.8701248,6099.799,6094.8115,6100.5156,3.4672,3.4516,3.4686,-0.8801,-0.8819,-0.8799,206,3.68228567574057E+18,192.665957771136,-3.13035138535894,0.8701248,2414952083587338102,192.666325538311,-3.13020280597286,1.42609638256822,MIS,0.08515043,GALEX J125039.9-030748,1,1048.05,1048.05,-999,-999,16.83194,0.008937675,-999,-999,671.7757,5.528649,0.02267959,192.63796,-3.0499,1981.547,1951.382,,19.91704,20.01006,0,-99,-99,0,0.05889296209791567,0.07482418957721347,0.041680662990716384,12.919781810422785,12.082800337009283,12.590027097106185,16.6677397684,0.8369814734135019,-1.4215598679918635
173,327,207,J1253+0753,193.442032,7.895300,91.6,149.7,6227,75,3.71,0.02,-3.83,0.09,1.09,0.30,0.762,0.030,0,6077,3.47,LAMOST,12.418,0.038,0.015,12.718,12.316,12.596,12.307,11.310,11.012,0.0003036525134497175,3733768078624022016,193.4419866128419,0.013335273,7.894999392324952,0.007322048,1.464231948819047,0.014162182,12.282818794250488,11.86441,12.535175,0.6707649,,,,,,,,,,207,3.73376807862402E+18,193.441986612842,7.89499939232495,0.6707649,6484271006265380698,193.441986488062,7.8953233549537,1.16626554838564,GII,0.4724802,GALEX J125346.0+075343,1,859,0,-999,-999,15.2118,0.004512494,-999,-999,2987.316,12.41275,0.02945866,193.90898,7.99187,1920.541,1920.418,,88.56897,86.34562,1,-99,-99,-999,0.07941598524935789,0.09922184638257277,0.05457775362363869,12.435953153617428,11.809832246376361,12.20340280900113,14.9985193016,0.6261209072410665,-1.3540853897174205
174,329,208,J1256+2321,194.107544,23.361076,56.3,30.7,4663,58,1.56,0.12,-3.07,0.14,2.64,0.12,2.410,0.121,1,4911,2.16,LAMOST,14.188,0.026,0.022,15.016,14.119,14.450,13.842,12.346,11.699,3.8817246308386066e-05,3956835039161438336,194.1075092186491,0.01632579,23.361058969695073,0.014523889,0.05717827296757057,0.020592842,13.88318157196045,13.204951,14.397798,1.1928463,,,,,,,,,,208,3.95683503916144E+18,194.107509218649,23.3610589696951,1.1928463,6378621143713057238,194.107815181036,23.3611747808118,1.09374988326936,AIS,0.1490265,GALEX J125625.8+232140,1,310,198,-999,-999,20.761,0.1219671,-999,-999,18.01356,2.023076,0.02318167,193.97879,23.45167,1926.607,1933.29,,0.534072,0.4956299,0,-99,-99,0,0.05672230272453924,0.07412708265930264,0.041967890115044044,14.323670917340698,13.162983109884955,13.82645926923591,20.5931647092,1.1606878074557425,-0.8344876112227757
175,330,210,J1258+1755,194.572418,17.925171,39.9,28.9,5483,84,3.57,0.03,-2.68,0.12,1.07,0.14,0.681,0.039,0,5652,3.86,LAMOST,13.332,0.034,0.034,13.720,13.240,13.426,13.176,11.929,11.552,0.00015107160677361453,3940814879867401600,194.57244426798536,0.013146523,17.925020309122278,0.009669401,0.9528515560329704,0.018537499,13.103243827819824,12.593611,13.431232,0.8376217,6094.935,6028.282,6162.6465,3.7485,3.7089,3.7898,-1.2171,-1.2934,-1.152,210,3.9408148798674E+18,194.572444267985,17.9250203091223,0.8376217,6378761898381280204,194.572509102109,17.9249259494495,0.405843855295074,AIS,0.5660962,GALEX J125817.4+175529,1,96,96,-999,-999,16.82837,0.02758807,-999,-999,673.9902,17.12163,0.03884552,194.02574,18.14891,1931.812,1921.64,,19.98269,20.30023,1,-99,-99,0,0.10170287037111396,0.12876818602098056,0.07151332759991766,13.302463813979019,12.522097672400081,13.00154095744871,16.5471284352,0.7803661415789378,-1.6284953128829187
176,332,211,J1300+0633,195.149231,6.565671,353.4,22.4,5122,42,2.60,0.04,-2.61,0.13,1.59,0.09,1.533,0.042,0,5262,2.16,LAMOST,12.366,0.022,0.007,12.911,12.308,12.308,11.876,10.801,10.342,0.00012403509550856174,3730191126780515456,195.14925263242918,0.0150734065,6.56554698731818,0.01005123,0.7175941150883558,0.017441925,12.115257263183594,11.552349,12.49794,0.945591,,,,,,,,,,211,3.73019112678052E+18,195.149252632429,6.56554698731818,0.945591,6378797070944308276,195.149196563313,6.56578062391486,0.864665020901224,AIS,0.124186,GALEX J130035.8+063356,3,291.7,108,22.13231,0.4829366,16.68328,0.01547711,5.094233,2.26537,770.3511,10.97865,0.03019941,195.27324,6.58117,1926.752,1919.195,,22.83963,23.24545,0,0.0473235,0.0235166,0,0.07741798714057967,0.09895037206299918,0.055330648850362256,12.398989627937,11.497018351149638,12.037839276043014,16.4646362716,0.9019712767873624,-1.5134342907014497
177,333,213,J1301+2338,195.496368,23.644657,-127.5,44.9,4797,36,1.85,0.08,-2.55,0.11,1.85,0.05,2.169,0.081,0,4957,1.59,LAMOST,12.526,0.019,0.014,13.392,12.475,12.677,12.080,10.767,10.198,8.047112505295213e-05,3956989829783692288,195.4963258794464,0.015205997,23.644587402594567,0.010040961,0.23863492267506503,0.020990118,12.306135177612305,11.656738,12.7830925,1.1263542,,,,,,,,,,213,3.95698982978369E+18,195.496325879446,23.6445874025946,1.1263542,6378621151229247603,195.496587453577,23.6447406892266,1.0240223722166,AIS,0.5440611,GALEX J130159.1+233841,1,201,201,-999,-999,18.54654,0.04459355,-999,-999,138.4796,5.686276,0.01746242,195.54187,24.18722,1909.667,1891.806,,4.10569,4.177058,1,-99,-99,0,0.04322409181882239,0.056160827336406045,0.03171410437690579,12.726931672663595,11.625023895623094,12.262911085793482,18.4201120792,1.1019077770405001,-1.0484236491755565
178,335,214,J1305+1200,196.322281,12.004824,20.9,31.2,5123,35,2.76,0.03,-2.32,0.09,1.35,0.07,1.373,0.032,0,5061,2.77,LAMOST,12.402,0.029,0.031,12.963,12.324,12.736,12.201,10.845,10.363,0.00012547723007442629,3737060291315313280,196.32218747059034,0.013458145,12.00474287171289,0.010346455,0.7437350740207779,0.016365102,12.157236099243164,11.588913,12.548218,0.9593048,,,,,,,,,,214,3.73706029131531E+18,196.32218747059,12.0047428717129,0.9593048,6378761968174502267,196.322454892009,12.004868521994,1.04467263622899,AIS,0.376572,GALEX J130517.3+120017,1,259,110,-999,-999,16.92143,0.01744533,-999,-999,618.6257,9.937507,0.03089645,196.26878,11.63198,1914.022,1911.331,,18.34123,18.732,256,-99,-99,0,0.07901239228545363,0.10110233642523905,0.05657451344166666,12.447115663574762,11.532338486558332,12.07822370695771,16.697739702,0.914777177016429,-1.405548047849953
179,336,215,J1305+2137,196.467972,21.621534,62.0,37.5,5152,109,3.01,0.05,-2.38,0.09,1.40,0.06,1.133,0.060,0,5250,2.81,LAMOST,13.361,0.036,0.024,13.914,13.265,13.446,13.110,11.826,11.357,0.0001473082231008812,3943428453366064384,196.46788405479646,0.012451823,21.62141315367559,0.010055131,0.5652541349429403,0.018138327,13.11329174041748,12.552309,13.492113,0.9398041,5997.606,5969.77,6031.4004,3.4418,3.4195,3.4702,-1.2118,-1.2985,-1.1097,215,3.94342845336606E+18,196.467884054796,21.6214131536756,0.9398041,6378621174851570107,196.467986970562,21.6216141730047,0.801453849462706,AIS,0.3683957,GALEX J130552.3+213717,1,104,104,-999,-999,17.65278,0.03919204,-999,-999,315.4179,11.38294,0.03502562,196.11697,21.45102,1909.783,1897.694,,9.351617,9.587132,0,-99,-99,0,0.0899450924368751,0.11487890664838525,0.06419717155731938,13.377234093351614,12.48811182844268,13.023346647980606,17.3991945112,0.8891222649089343,-1.4933919511255525
180,338,216,J1305+2815,196.395020,28.252928,56.4,77.2,6218,61,3.87,0.03,-2.86,0.09,1.46,0.11,0.600,0.035,0,6000,3.91,LAMOST,12.945,0.023,0.004,13.322,12.884,12.978,12.729,11.918,11.618,0.00017537573518287998,1461148703029523072,196.39483842163813,0.012823252,28.252861676716666,0.012390638,1.268218213516404,0.01953873,12.799212455749512,12.4020815,13.037497,0.6354151,6462.4565,6419.3325,6489.707,4.0213,3.9703,4.0641,-2.6047,-3.2848,-2.1451,216,1.46114870302952E+18,196.394838421638,28.2528616767167,0.6354151,3054216940071425462,196.395112599446,28.2529266870565,0.900398950395674,GII,0.06758086,GALEX J130534.8+281510,3,1391.55,1391.55,20.98401,0.07428592,15.63857,0.004338567,14.66886,1.003397,2016.384,8.055447,0.009532372,196.3357,28.29569,1908.46,1910.168,,59.78243,58.96273,8,0.1362681,0.1277093,0,0.02579038826133397,0.0321602171326672,0.01767747262964665,13.005336782867333,12.384404027370353,12.773422067488177,15.56955562672,0.6209327554969803,-1.2657197397598843
181,339,217,J1306+0846,196.532288,8.771643,-100.2,34.3,6421,126,3.94,0.03,-3.25,0.09,1.71,0.30,0.586,0.048,0,6429,4.03,LAMOST,14.207,0.031,0.009,14.443,14.125,14.170,14.007,13.193,12.952,0.00023844966949701212,3731163576095929984,196.53207288973744,0.017025322,8.771545452927114,0.010725988,0.7345806495952059,0.019741971,14.036175727844238,13.656876,14.257049,0.600173,6623.948,6608.091,6644.7554,4.1018,4.0765,4.1606,-4.0117,-4.1278,-3.1313,217,3.73116357609593E+18,196.532072889737,8.77154545292711,0.600173,6378797067723081753,196.532372274297,8.77175118346582,1.29735815288726,AIS,0.2817434,GALEX J130607.7+084618,3,287.1,107,21.37893,0.4138442,16.78701,0.01523272,10.19603,3.88542,700.1593,9.820745,0.03116006,196.75696,8.94535,1933.195,1906.89,,20.75856,21.13754,0,0.09471723,0.09763656,256,0.0851108219151691,0.10571101854474031,0.05788135307238554,14.15133798145526,13.598994646927615,13.95106490592907,16.5614111656,0.5523433345276452,-1.0649962366739327
182,340,218,J1313-0552,198.379898,-5.870120,124.8,38.0,4712,15,2.83,0.18,-4.37,0.15,1.67,0.30,1.158,0.180,1,5075,1.60,LAMOST,14.381,0.022,-9.900,15.295,14.322,14.706,14.067,12.518,11.889,3.726001699697418e-05,3635533208672382592,198.37991767964382,0.018980535,-5.870155709717161,0.014357902,0.011797181977611077,0.023233362,14.110624313354492,13.425042,14.6331,1.2080574,,,,,,,,,,218,3.63553320867238E+18,198.379917679644,-5.87015570971716,1.2080574,6379008162142360264,198.380641494695,-5.87017617164388,2.59311673726172,AIS,0.5066427,GALEX J131331.3-055212,1,291.55,96,-999,-999,20.05047,0.1158327,-999,-999,34.65866,3.696691,0.04311482,198.66088,-6.2933,1940.367,1937.363,,1.027572,0.9447374,1,-99,-99,0,0.10547247399833692,0.1378757292477925,0.07804559888845969,14.495224270752209,13.34699640111154,14.005151839356156,19.7383187032,1.1482278696406691,-1.8357867628188407
183,341,220,J1314+5232,198.626129,52.540363,-61.7,55.1,6130,60,3.83,0.02,-2.17,0.10,1.65,0.09,0.615,0.027,0,6184,4.17,LAMOST,12.554,0.021,0.012,12.905,12.497,12.881,12.570,11.499,11.209,0.0002672413851574003,1563102671061815296,198.62571624614046,0.007893072,52.540268221903105,0.00834053,1.597179557110419,0.010798951,12.425820350646973,12.01591,12.673409,0.6574993,6355.3076,6307.865,6373.802,4.0901,4.0818,4.1336,-1.9695,-2.1352,-1.7448,220,1.56310267106182E+18,198.62571624614,52.5402682219031,0.6574993,3866342616825070347,198.625826643348,52.5402755274388,0.243144905558942,MIS,0.5506502,GALEX J131430.2+523224,1,2902.15,0,-999,-999,15.44809,0.002728044,-999,-999,2403.052,6.036494,0.01095828,198.59236,53.09055,1933.667,1917.271,,71.24652,69.10345,1,-99,-99,-999,0.029535463296804523,0.03689437546452898,0.020305529611738145,12.63651462453547,11.995604470388262,12.396284887350168,15.3687520528,0.6409101541472086,-1.2229842998038292
184,344,221,J1315+2045,198.822250,20.750195,-94.3,30.1,5068,46,1.84,0.20,-3.30,0.16,1.58,0.12,2.275,0.200,1,4902,1.74,LAMOST,14.571,0.036,0.027,15.154,14.475,14.704,14.250,12.924,12.407,2.051925564870814e-05,3940451044597502208,198.8222534589675,0.020321893,20.750173879540057,0.014185423,0.1066066981529625,0.02424063,14.316150665283203,13.713319,14.733064,1.0197449,,,,,,,,,,221,3.9404510445975E+18,198.822253458968,20.7501738795401,1.0197449,6378621208137564752,198.822502446415,20.7507264268953,2.15856339957048,AIS,0.5716148,GALEX J131517.4+204502,1,104,104,-999,-999,19.03467,0.08416767,-999,-999,88.33482,6.846165,0.02903522,199.30188,21.10606,1909.083,1896.257,,2.618981,2.62147,0,-99,-99,0,0.0734108961821274,0.09443111614165199,0.053018926493937246,14.63863288385835,13.660300073506063,14.242739769101076,18.824455007199997,0.9783328103522866,-1.8508589253730685
185,348,222,J1317+5245,199.318710,52.765163,-98.4,59.5,6000,54,3.94,0.02,-1.78,0.09,1.15,0.07,0.468,0.026,0,6000,3.83,LAMOST,12.522,0.015,0.016,12.898,12.482,12.867,12.516,11.455,11.130,0.00014357897462528922,1563086075308139648,199.3186609489268,0.007244143,52.765021764004516,0.009118165,1.7220050235950193,0.010553288,12.380724906921387,11.958554,12.638591,0.68003654,6277.9893,6262.802,6291.003,4.1118,4.1058,4.1254,-1.7249,-1.7588,-1.5392,222,1.56308607530814E+18,199.318660948927,52.7650217640045,0.68003654,3866342616825072431,199.318313491847,52.7652568938433,1.135497002959,MIS,0.5452719,GALEX J131716.4+524554,1,2902.15,0,-999,-999,15.59843,0.002807148,-999,-999,2092.321,5.408339,0.01723036,198.59236,53.09055,1933.667,1917.271,,62.03386,60.66304,1,-99,-99,-999,0.04629136147566941,0.05791444104600735,0.031904159820524934,12.580676558953993,11.926649840179474,12.334433545445718,15.4736821936,0.654026718774519,-1.15821638535576
186,349,223,J1320+1609,200.014404,16.158224,211.3,41.5,6216,102,4.14,0.03,-2.52,0.09,1.04,0.17,0.329,0.043,0,6037,3.84,LAMOST,12.471,0.021,0.005,12.855,12.413,12.639,12.655,11.548,11.157,0.0006330171723931143,3744642523500213248,200.01391202387947,0.015072908,16.15780732633681,0.012287063,2.149476218691279,0.019032918,12.379629135131836,11.966267,12.629835,0.6635685,6313.0513,6284.3755,6326.2524,4.2504,4.2437,4.2575,-2.2705,-2.3026,-2.2388,223,3.74464252350021E+18,200.013912023879,16.1578073263368,0.6635685,6378656327013501265,200.014366533025,16.1579226257691,1.62548899229771,AIS,0.452317,GALEX J132003.4+160928,3,326,105,21.18631,0.3680215,15.33685,0.006730343,12.1753,4.125939,2662.322,16.49939,0.02059738,200.45666,16.31368,1906.419,1905.567,,78.93343,77.65324,0,0.1131039,0.1075773,0,0.05553009171582276,0.0693678485938829,0.038164688000766694,12.560467151406117,11.928102311999233,12.324099043416012,15.1877249688,0.6323648394068844,-1.3022756224765848
187,351,224,J1321+3205,200.476074,32.083759,33.9,19.6,5476,69,3.33,0.05,-2.98,0.19,1.67,0.30,0.919,0.054,0,5338,1.74,LAMOST,15.05,0.031,0.017,15.465,14.966,15.142,14.794,13.702,13.264,5.20952025772172e-05,1469392257099691904,200.47607712136784,0.016888285,32.083706472604334,0.014515313,0.30011620092260183,0.022697804,14.845464706420898,14.329284,15.177041,0.84775734,,,,,,,,,,224,1.46939225709969E+18,200.476077121368,32.0837064726043,0.84775734,3064103748626299127,200.476224760416,32.0837323322525,0.459847971467025,GII,0.5519641,GALEX J132154.2+320501,1,3393.35,2507.3,-999,-999,18.522,0.01102371,-999,-999,141.6449,1.437801,0.01531153,200.3204,31.54789,1944.821,1910.162,,4.199538,4.215611,0,-99,-99,0,0.039883235116853336,0.05059542102257773,0.02816124402305734,15.126445578977421,14.301122755976943,14.805581471304045,18.411144522799997,0.8253228230004783,-1.7989185331240103
188,353,225,J1324+0211,201.062286,2.186695,65.8,49.1,6030,64,3.89,0.03,-2.23,0.14,1.30,0.18,0.527,0.036,0,6170,4.21,LAMOST,12.582,0.021,-9.900,12.957,12.525,12.516,12.289,11.488,11.180,0.00045377774487732046,3712225484739473536,201.0622346191499,0.013109903,2.186244503684349,0.009363874,1.6844961718422387,0.015526237,12.433679580688477,12.017185,12.687739,0.67055416,6309.971,6265.8486,6325.1343,4.1156,4.0959,4.1249,-1.8293,-1.8608,-1.695,225,3.71222548473947E+18,201.06223461915,2.18624450368435,0.67055416,2950845255073661598,201.062586258761,2.18667872114507,2.01089967591383,MIS,0.5402849,GALEX J132415.0+021112,1,1689.1,0,-999,-999,15.63185,0.00386207,-999,-999,2028.901,7.215248,0.02540353,201.03959,2.72647,1897.519,1912.04,,60.15356,58.21461,8,-99,-99,-999,0.06844703780578167,0.08553270561157145,0.047061753951478054,12.602206294388429,11.970123246048521,12.365232542882694,15.4479284428,0.6320830483399078,-1.094290952097877
189,357,226,J1324+0339,201.224640,3.655267,-0.7,48.8,6221,106,4.43,0.05,-1.88,0.09,1.40,0.08,0.041,0.059,0,6197,4.24,LAMOST,13.177,0.025,-9.900,13.528,13.111,13.219,12.994,12.175,11.880,0.0006675654517129615,3713032182676749312,201.22397749119966,0.04673314,3.655290963146844,0.028611528,2.421917283105168,0.05573392,13.02331829071045,12.625726,13.262675,0.63694954,6561.1704,6535.998,6586.096,4.5441,4.5117,4.5692,-2.1187,-2.2676,-1.9144,226,3.71303218267675E+18,201.2239774912,3.65529096314684,0.63694954,3828097204364512167,201.224332758338,3.65526962488328,1.27866943091544,MIS,0.5224946,GALEX J132453.8+033918,1,2126.15,0,-999,-999,15.91686,0.00388241,-999,-999,1560.473,5.578634,0.02236466,201.63083,3.98465,1920.183,1907.903,,46.26545,45.06276,0,-99,-99,-999,0.06060289164153259,0.0755329351331349,0.041481630296758464,13.187142064866865,12.584244369703242,12.962715399068916,15.7549398616,0.6028976951636231,-1.187213447673999
190,359,227,J1326+3937,201.546280,39.619942,44.3,30.7,5031,29,2.20,0.04,-2.48,0.12,1.64,0.07,1.902,0.041,0,5176,2.07,LAMOST,13.551,0.020,0.012,13.987,13.496,13.756,13.408,11.956,11.425,3.16471467829933e-05,1476541212983385472,201.54624034217792,0.0068594194,39.6199395775091,0.0083399415,0.19812192562549502,0.012976608,13.330571174621582,12.734899,13.744263,1.0093641,,,,,,,,,,227,1.47654121298339E+18,201.546240342178,39.6199395775091,1.0093641,3867609254220269531,201.54626836762,39.6199493831583,0.0853573504197573,MIS,0.4218202,GALEX J132611.1+393711,1,1606.05,0,-999,-999,18.51187,0.01663951,-999,-999,142.972,2.190593,0.009958245,201.82613,39.98286,1957.043,1947.05,,4.238883,4.265557,8,-99,-99,-999,0.025161858580363534,0.03236820973354831,0.018183041292263474,13.711894790266452,12.716715958707736,13.305409316041219,18.4397723062,0.9951788315587162,-1.3594612735532392
191,362,228,J1327+0710,201.871094,7.181103,-18.6,33.2,6101,118,4.33,0.04,-3.25,0.13,1.07,0.30,0.107,0.053,0,6250,4.04,LAMOST,14.784,0.027,-9.900,15.135,14.711,14.802,14.602,13.732,13.381,0.00015406416210284897,3719046580000212224,201.8709547013837,0.021039173,7.181047311683061,0.012561595,1.0173848865587483,0.025573632,14.63701343536377,14.22613,14.879536,0.65340614,6449.9873,6408.8286,6473.8726,4.3395,4.2876,4.3678,-2.2494,-2.4794,-2.1057,228,3.71904658000021E+18,201.870954701384,7.18104731168306,0.65340614,6378797124629301430,201.871261425797,7.1812598457554,1.33627634409753,AIS,0.512535,GALEX J132729.1+071052,1,219.05,219.05,-999,-999,17.3076,0.02212556,-999,-999,433.469,8.831257,0.0299729,201.3686,7.29975,1928.938,1946.871,,12.85164,13.00548,0,-99,-99,0,0.08106449870974056,0.10113442076989924,0.055566913738356774,14.778401579230101,14.170563086261643,14.55594893665403,17.090596204,0.6078384929684582,-1.497367435658747
192,363,229,J1333+4937,203.437988,49.623810,-53.6,26.9,5906,68,2.58,0.05,-2.96,0.09,3.09,0.22,1.801,0.054,0,5813,2.23,LAMOST,14.068,0.017,0.013,14.612,14.022,14.192,13.914,12.896,12.579,1.1203061986803461e-05,1552614773241880320,203.43797282373043,0.010888392,49.62380366646957,0.010733268,0.14852127821285885,0.013807163,13.933496475219727,13.4732895,14.217948,0.74465847,5819.893,5818.0083,5820.765,2.4652,2.4644,2.4672,-3.5139,-3.5601,-3.4553,229,1.55261477324188E+18,203.43797282373,49.6238036664696,0.74465847,6374574984946255749,203.438140990009,49.6238703029948,0.459730715350659,AIS,0.4515634,GALEX J133345.1+493725,1,269.05,169.05,-999,-999,17.71291,0.02388214,-999,-999,298.4264,6.562672,0.00754933,202.80809,49.81878,1887.778,1877.358,,8.847848,9.066138,1,-99,-99,0,0.020017270871985564,0.02518783332933553,0.013940901763474041,14.192760166670665,13.459348598236526,13.913479204347741,17.6582528508,0.7334115684341391,-1.0424188192416306
193,366,231,J1339-0439,204.775726,-4.660622,-2.5,56.7,4785,37,1.87,0.07,-2.85,0.13,1.85,0.06,2.145,0.071,1,5012,1.37,LAMOST,12.896,0.041,0.010,13.634,12.786,13.338,12.667,11.076,10.491,3.1315985432149225e-05,3633481073298252672,204.77573848015302,0.014273582,-4.660652788914973,0.009059119,0.19627380534052213,0.015261013,12.619963645935059,11.962413,13.108365,1.1459522,,,,,,,,,,231,3.63348107329825E+18,204.775738480153,-4.66065278891497,1.1459522,6378832303632680133,204.775876587803,-4.66064095344002,0.497371924208744,AIS,0.5525093,GALEX J133906.2-043938,1,118,112,-999,-999,18.9449,0.07306647,-999,-999,95.94841,6.455444,0.03152883,205.29441,-4.46547,1911.465,1966.242,,2.844711,2.699955,0,-99,-99,0,0.07790350600882796,0.101322767818702,0.05723033871350372,13.007042232181297,11.905182661286496,12.54206013992623,18.7166312708,1.101859570894801,-1.0654195859512638
194,367,232,J1340+1606,205.014664,16.113693,71.8,16.8,6400,143,3.85,0.05,-3.14,0.10,2.04,0.30,0.670,0.066,0,6416,3.53,LAMOST,14.068,0.017,-9.900,14.612,14.023,14.192,13.914,12.896,12.579,0.0001399549620704075,3742421922328916736,205.01455621944484,0.01710731,16.113603997460668,0.014628955,0.5084009170476108,0.024790583,14.812905311584473,14.430381,15.036611,0.6062298,6567.2964,6527.055,6598.4336,4.1261,4.0896,4.1861,-3.1481,-3.8313,-2.2512,232,3.74242192232892E+18,205.014556219445,16.1136039974607,0.6062298,6378656366741948493,205.014778865917,16.1136816249979,0.819179821157534,AIS,0.165262,GALEX J134003.5+160649,3,218,107,21.92628,0.5031826,17.55047,0.02698871,6.158739,2.853564,346.585,8.613152,0.01998703,204.91049,16.24513,1908.102,1940.182,,10.27567,10.50966,4,0.05721236,0.01997553,0,0.05444491317372769,0.06769461444530815,0.03711183833914682,14.968916385554692,14.393269161660854,14.758460398410746,17.4057639028,0.5756472238938386,-1.1488483640944231
