,Teff,FeH,logg,SOURCE_ID,e_bv,bpDered,rpDered,gDered,NUVDered,bp_rp_dered,colorColorY
78,4792,-2.84,1.80,3679882078898432256,0.03077015,14.40385807671202,13.32137214885874,13.950825594871015,20.000434114,1.0824859278532788,-1.0628574170463105
79,4675,-2.66,1.63,6156352078514249216,0.06504848,13.770733852286208,12.66021581691803,13.30238173671967,19.7564590048,1.1105180353681785,-0.9240812250931603
80,5040,-3.23,2.46,6156127709422808320,0.07020407,14.019358830282544,13.113361797218685,13.65890532944472,17.935292533200002,0.9059970330638585,-1.7915041817150783
81,4702,-2.21,1.48,6184261085241420288,0.09361597,13.029648065597195,11.887247499421315,12.54273461233322,19.4273603772,1.1424005661758798,-0.7687863029432194
82,4653,-2.39,1.32,6088457098066948352,0.1141415,13.179555673260294,11.907520494163727,12.62120095110906,20.82171554,1.2720351790965676,-0.3382751241276907
83,4734,-2.56,1.58,6195800528494048128,0.09011257,13.720051868611227,12.671503880558332,13.285915470727373,19.253284993199998,1.0485479880528956,-1.0713689291438246
87,5260,-2.47,2.97,6295923362989312000,0.08273479,14.793993797990566,13.950486807491876,14.462574708331802,18.516170120399998,0.8435069904986907,-1.6421123178414918
88,4765,-2.62,1.88,6294863841801766272,0.07804763,16.00377611190626,15.000605256635948,15.597543051858242,20.8007051588,1.0031708552703105,-1.512653400457018
89,5170,-2.48,2.75,6301695730315678336,0.09007341,15.653072937834265,14.758790853669748,15.298084521223965,19.8003285116,0.8942820841645176,-1.540037035469365
90,4837,-2.63,1.90,6250246214002836608,0.2391905,13.201781231313,12.233755261399061,12.80904130408522,18.08421078,0.9680259699139384,-1.6068910244405998
91,4936,-2.11,1.94,4353569964388785408,0.2984959,12.712098258324378,11.717621693518728,12.307623091774218,18.069769684,0.9944765648056499,-1.4291939872367232
92,4833,-2.32,1.72,6034664728651334144,0.3007765,12.347556023310363,11.408674558687627,11.968724914194016,17.361498140000002,0.9388814646227353,-1.4498803800477766
93,4941,-2.09,2.07,6034710667615052160,0.3461992,13.313854259428892,12.368600011152653,12.935011354089651,18.376557792,0.9452542482762389,-1.5484898217955525
94,4801,-2.34,1.60,5954269464897669376,0.2107604,13.74631830340942,12.662140017568705,13.295946018799293,19.476954703999997,1.084178285840716,-1.3769561539646569
95,4797,-2.60,1.77,5954259504896609536,0.2186599,12.544760234161375,11.557620171206137,12.141352360508074,17.796362324,0.9871400629552376,-1.3001940852090446
96,4968,-2.60,2.15,5956940109923924864,0.2423114,13.226684194479393,12.298187901123459,12.857968566826125,17.879905463999997,0.9284962933559342,-1.614909442813575
97,4518,-2.85,1.09,6730001413961209344,0.1150691,13.456496844158206,12.250194064052645,12.937290131508929,19.741689716,1.2063027801055615,-1.3125913546861492
98,4518,-3.49,1.25,6737084154322454784,0.1608225,13.861987044324906,12.587938502279094,13.305404472770675,19.7872651,1.2740485420458114,-2.178358423297775
99,4855,-2.94,2.07,4081595661509060352,0.1836192,13.326788428564477,12.336818952989622,12.923309221381848,18.366776992,0.9899694755748545,-1.4455555992365552
100,5035,-2.52,2.47,6346006392513835520,0.1254451,14.910276537374003,13.828896573806881,14.45815176389969,20.823827476,1.0813799635671213,-0.9707452871862872
101,4792,-3.16,1.84,6660502280387982336,0.0508608,14.756630345123023,13.711839873907943,14.323713548644136,19.726047808,1.0447904712150802,-1.5154852548980209
102,5260,-1.24,2.64,6362553905072497792,0.4437768,12.65328954700853,11.611514867584718,12.226211014812778,17.811385968,1.0417746794238116,-2.239535948254775
103,4801,-2.21,1.90,6747472550633661824,0.1852819,13.584763570909113,12.442241441997789,13.099816795903134,19.247919044,1.1425221289113239,-1.7240337939236063
104,4639,-2.44,1.53,6428759348471831680,0.06476034,13.180260224460138,11.857041455438921,12.592528240115072,20.5568851384,1.3232187690212172,-0.7895658602379125
108,4648,-3.04,1.62,6665384421251424000,0.06024087,13.94078723298793,12.824535458947404,13.468663279458362,19.5162561012,1.116251774040526,-1.355959430063419
109,5395,-3.14,3.26,6700648095618279552,0.1921703,15.128784657302537,14.14952244253635,14.7351413909243,19.064087028,0.9792622147661874,-2.5120413679802187
110,4783,-2.91,1.72,6473622480901970176,0.05109453,13.739589742635973,12.752240779199203,13.336692124356043,18.714715602800002,0.9873489634367694,-1.1683506595389996
111,4900,-2.47,2.08,6475332462000476800,0.05187501,13.358061484039252,12.22340651918661,12.878058104785321,18.7270449276,1.1346549648526416,-1.6533493439421685
112,4828,-2.49,2.00,6449460334925489408,0.03871023,14.220788507720282,13.190248242534981,13.79515320716256,19.5454779348,1.0305402651853015,-1.045006788904459
113,4927,-1.80,1.97,6449260876643493888,0.03536888,13.694494858372703,12.564172388496443,13.21497547088708,19.9586293088,1.1303224698762602,-0.690335745395692
114,4824,-2.26,1.81,6464859579386032640,0.0221929,14.614712124136668,13.435369210789005,14.106083513118344,21.407353404000002,1.1793429133476625,-0.41858253275980406
115,4783,-3.24,2.06,6399358510623784192,0.03359728,14.331470529046616,13.30417140224378,13.907939424317297,19.2072156928,1.027299126802836,-1.4623046314184363
116,4522,-2.45,1.46,6566733042551632896,0.02194051,14.593204608130584,13.16877840320279,13.94501480699596,22.1021207076,1.4244262049277943,-1.1528116244306617
117,4819,-2.26,1.92,6506319306715395200,0.01737753,12.845523106008272,11.73113445979119,12.37436524053942,18.7499366828,1.1143886462170816,-0.9108705176110279
118,4612,-3.30,1.38,6610033116122218752,0.02498287,14.161223443361802,13.12245891812276,13.732032858094643,19.1920040212,1.038764525239042,-1.354499392853775
119,4495,-3.21,0.98,6610068261839783680,0.02619999,14.550889230709117,13.36061452155355,14.039822698932568,-999.1896879276,1.1902747091555668,-1021.0300315371112
